sector0_superlayer0_layer0_paddle1 | root|   0.0000*mm   0.0000*mm   0.0000*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap | 139.8500*mm      77.000000*mm      -3.929620*mm      80.000000*mm      -4.086845*mm      80.000000*mm       4.086845*mm      77.000000*mm       3.929620*mm      77.000000*mm      -3.929620*mm      80.000000*mm      -4.086845*mm      80.000000*mm       4.086845*mm      77.000000*mm       3.929620*mm  | 0 0 0 1
sector0_superlayer0_layer0_paddle2 | root|   0.0000*mm   0.0000*mm   0.0000*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap | 139.8500*mm      76.988943*mm       4.140599*mm      79.988943*mm       4.297820*mm      79.134560*mm      12.426734*mm      76.167429*mm      11.956785*mm      76.988943*mm       4.140599*mm      79.988943*mm       4.297820*mm      79.134560*mm      12.426734*mm      76.167429*mm      11.956785*mm  | 0 0 0 2
sector0_superlayer0_layer0_paddle3 | root|   0.0000*mm   0.0000*mm   0.0000*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap | 139.8500*mm      76.134379*mm      12.165452*mm      79.101511*mm      12.635398*mm      77.402105*mm      20.630473*mm      74.500351*mm      19.852949*mm      76.134379*mm      12.165452*mm      79.101511*mm      12.635398*mm      77.402105*mm      20.630473*mm      74.500351*mm      19.852949*mm  | 0 0 0 3
sector0_superlayer0_layer0_paddle4 | root|   0.0000*mm   0.0000*mm   0.0000*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap | 139.8500*mm      74.445671*mm      20.057018*mm      77.347426*mm      20.834539*mm      74.821617*mm      28.608180*mm      72.017032*mm      27.531599*mm      74.445671*mm      20.057018*mm      77.347426*mm      20.834539*mm      74.821617*mm      28.608180*mm      72.017032*mm      27.531599*mm  | 0 0 0 4
sector0_superlayer1_layer0_paddle1 | root|   0.0000*mm   0.0000*mm -126.0000*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap |  13.8500*mm      80.000000*mm      -4.086845*mm     100.000000*mm      -5.135000*mm     100.000000*mm       5.135000*mm      80.000000*mm       4.086845*mm      80.000000*mm      -4.086845*mm     100.000000*mm      -5.135000*mm     100.000000*mm       5.135000*mm      80.000000*mm       4.086845*mm  | 0 1 0 1
sector0_superlayer1_layer0_paddle2 | root|   0.0000*mm   0.0000*mm -126.0000*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap |  13.8500*mm      79.988943*mm       4.297820*mm      99.988943*mm       5.345976*mm      98.915436*mm      15.559716*mm      79.134560*mm      12.426734*mm      79.988943*mm       4.297820*mm      99.988943*mm       5.345976*mm      98.915436*mm      15.559716*mm      79.134560*mm      12.426734*mm  | 0 1 0 2
sector0_superlayer1_layer0_paddle3 | root|   0.0000*mm   0.0000*mm -126.0000*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap |  13.8500*mm      79.101511*mm      12.635398*mm      98.882387*mm      15.768381*mm      96.747134*mm      25.813957*mm      77.402105*mm      20.630473*mm      79.101511*mm      12.635398*mm      98.882387*mm      15.768381*mm      96.747134*mm      25.813957*mm      77.402105*mm      20.630473*mm  | 0 1 0 3
sector0_superlayer1_layer0_paddle4 | root|   0.0000*mm   0.0000*mm -126.0000*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap |  13.8500*mm      77.347426*mm      20.834539*mm      96.692454*mm      26.018024*mm      93.518849*mm      35.785375*mm      74.821617*mm      28.608180*mm      77.347426*mm      20.834539*mm      96.692454*mm      26.018024*mm      93.518849*mm      35.785375*mm      74.821617*mm      28.608180*mm  | 0 1 0 4
sector0_superlayer1_layer1_paddle1 | root|   0.0000*mm   0.0000*mm -98.0000*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap |  13.8500*mm      80.000000*mm      -4.086845*mm     100.000000*mm      -5.135000*mm     100.000000*mm       5.135000*mm      80.000000*mm       4.086845*mm      80.000000*mm      -4.086845*mm     100.000000*mm      -5.135000*mm     100.000000*mm       5.135000*mm      80.000000*mm       4.086845*mm  | 0 1 1 1
sector0_superlayer1_layer1_paddle2 | root|   0.0000*mm   0.0000*mm -98.0000*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap |  13.8500*mm      79.988943*mm       4.297820*mm      99.988943*mm       5.345976*mm      98.915436*mm      15.559716*mm      79.134560*mm      12.426734*mm      79.988943*mm       4.297820*mm      99.988943*mm       5.345976*mm      98.915436*mm      15.559716*mm      79.134560*mm      12.426734*mm  | 0 1 1 2
sector0_superlayer1_layer1_paddle3 | root|   0.0000*mm   0.0000*mm -98.0000*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap |  13.8500*mm      79.101511*mm      12.635398*mm      98.882387*mm      15.768381*mm      96.747134*mm      25.813957*mm      77.402105*mm      20.630473*mm      79.101511*mm      12.635398*mm      98.882387*mm      15.768381*mm      96.747134*mm      25.813957*mm      77.402105*mm      20.630473*mm  | 0 1 1 3
