  FMT_connector7_1_4  |                 FMT  |Connector 7, Layer 1, Element 4  |                              0*mm 0*mm -28.885*mm  |                     0*deg 0*deg -75*deg  |6c2d582   |                Tube  |                      216.5*mm 224*mm 0.35*mm 35*deg 5.6*deg  |               myAlu  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
 FMT_connector15_1_1  |                 FMT  |Connector 15, Layer 1, Element 1  |                              0*mm 0*mm -31.235*mm  |                    0*deg 0*deg -255*deg  |40b8af4   |                Tube  |                   205.9*mm 213.3*mm 1.5*mm 33.2*deg 8.6*deg  |               myFR4  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
 FMT_connector15_1_2  |                 FMT  |Connector 15, Layer 1, Element 2  |                              0*mm 0*mm -29.485*mm  |                    0*deg 0*deg -255*deg  |6c2d582   |                Tube  |                  205.9*mm 213.3*mm 0.25*mm 33.6*deg 7.8*deg  |               myAlu  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
 FMT_connector15_1_3  |                 FMT  |Connector 15, Layer 1, Element 3  |                              0*mm 0*mm -30.235*mm  |                    0*deg 0*deg -255*deg  |40b8af4   |                Tube  |                       213.3*mm 225.3*mm 1*mm 33*deg 9.6*deg  |               myFR4  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
 FMT_connector15_1_4  |                 FMT  |Connector 15, Layer 1, Element 4  |                              0*mm 0*mm -28.885*mm  |                    0*deg 0*deg -255*deg  |6c2d582   |                Tube  |                      216.5*mm 224*mm 0.35*mm 35*deg 5.6*deg  |               myAlu  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
  FMT_connector6_1_1  |                 FMT  |Connector 6, Layer 1, Element 1  |                              0*mm 0*mm -31.235*mm  |                     0*deg 0*deg -90*deg  |40b8af4   |                Tube  |                   205.9*mm 213.3*mm 1.5*mm 33.2*deg 8.6*deg  |               myFR4  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
  FMT_connector6_1_2  |                 FMT  |Connector 6, Layer 1, Element 2  |                              0*mm 0*mm -29.485*mm  |                     0*deg 0*deg -90*deg  |6c2d582   |                Tube  |                  205.9*mm 213.3*mm 0.25*mm 33.6*deg 7.8*deg  |               myAlu  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
  FMT_connector6_1_3  |                 FMT  |Connector 6, Layer 1, Element 3  |                              0*mm 0*mm -30.235*mm  |                     0*deg 0*deg -90*deg  |40b8af4   |                Tube  |                       213.3*mm 225.3*mm 1*mm 33*deg 9.6*deg  |               myFR4  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
  FMT_connector6_1_4  |                 FMT  |Connector 6, Layer 1, Element 4  |                              0*mm 0*mm -28.885*mm  |                     0*deg 0*deg -90*deg  |6c2d582   |                Tube  |                      216.5*mm 224*mm 0.35*mm 35*deg 5.6*deg  |               myAlu  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
 FMT_connector14_1_1  |                 FMT  |Connector 14, Layer 1, Element 1  |                              0*mm 0*mm -31.235*mm  |                    0*deg 0*deg -270*deg  |40b8af4   |                Tube  |                   205.9*mm 213.3*mm 1.5*mm 33.2*deg 8.6*deg  |               myFR4  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
