        region1_s1 |       fc | 97.1504955*cm 0*cm 216.9377989*cm | ordered: zxy 90*deg 25*deg 0*deg |   G4Trap | 9.08899*cm -0.4363323*rad 1.5707963*rad 91.8235896*cm 4.5097106*cm 98.0388567*cm 0*rad 91.8235896*cm 4.5097106*cm 98.0388567*cm 0*rad  |    1   1   0   0
     sl1_layer1_s1 | region1_s1 | -2.4574267*cm -5.2078475*cm -8.39051*cm | ordered: yxz 0*deg 0*deg 6*deg |   G4Trap | 0.56924*cm -0.4363323*rad 1.5707963*rad 75.5799076*cm 6.551895*cm 85.1457644*cm -0.1323475*rad 75.5799076*cm 6.551895*cm 85.1457644*cm -0.1323475*rad  |    1   1   1   1
     sl1_layer2_s1 | region1_s1 | -2.4537593*cm -5.8807659*cm -7.23203*cm | ordered: yxz 0*deg 0*deg 6*deg |   G4Trap | 0.56924*cm -0.4363323*rad 1.5707963*rad 75.5799076*cm 6.483471*cm 85.0773404*cm -0.1323475*rad 75.5799076*cm 6.483471*cm 85.0773404*cm -0.1323475*rad  |    1   1   1   2
     sl1_layer3_s1 | region1_s1 | -2.4873708*cm -5.2047003*cm -6.07355*cm | ordered: yxz 0*deg 0*deg 6*deg |   G4Trap | 0.56924*cm -0.4363323*rad 1.5707963*rad 75.5799076*cm 7.1105681*cm 85.7044375*cm -0.1323475*rad 75.5799076*cm 7.1105681*cm 85.7044375*cm -0.1323475*rad  |    1   1   1   3
     sl1_layer4_s1 | region1_s1 | -2.4837033*cm -5.8776187*cm -4.91507*cm | ordered: yxz 0*deg 0*deg 6*deg |   G4Trap | 0.56924*cm -0.4363323*rad 1.5707963*rad 75.5799076*cm 7.0421441*cm 85.6360135*cm -0.1323475*rad 75.5799076*cm 7.0421441*cm 85.6360135*cm -0.1323475*rad  |    1   1   1   4
     sl1_layer5_s1 | region1_s1 | -2.5173148*cm -5.201553*cm -3.75659*cm | ordered: yxz 0*deg 0*deg 6*deg |   G4Trap | 0.56924*cm -0.4363323*rad 1.5707963*rad 75.5799076*cm 7.6692412*cm 86.2631105*cm -0.1323475*rad 75.5799076*cm 7.6692412*cm 86.2631105*cm -0.1323475*rad  |    1   1   1   5
     sl1_layer6_s1 | region1_s1 | -2.5136474*cm -5.8744714*cm -2.59811*cm | ordered: yxz 0*deg 0*deg 6*deg |   G4Trap | 0.56924*cm -0.4363323*rad 1.5707963*rad 75.5799076*cm 7.6008172*cm 86.1946866*cm -0.1323475*rad 75.5799076*cm 7.6008172*cm 86.1946866*cm -0.1323475*rad  |    1   1   1   6
     sl2_layer1_s1 | region1_s1 | 2.5579464*cm -6.5429016*cm 2.27303*cm | ordered: yxz 0*deg 0*deg -6*deg |   G4Trap | 0.59633*cm -0.4363323*rad 1.5707963*rad 79.1146423*cm 6.5894701*cm 88.8590316*cm 0.1323475*rad 79.1146423*cm 6.5894701*cm 88.8590316*cm 0.1323475*rad  |    1   1   2   1
     sl2_layer2_s1 | region1_s1 | 2.5541075*cm -7.2472911*cm 3.48569*cm | ordered: yxz 0*deg 0*deg -6*deg |   G4Trap | 0.59633*cm -0.4363323*rad 1.5707963*rad 79.1146423*cm 6.5178461*cm 88.7874076*cm 0.1323475*rad 79.1146423*cm 6.5178461*cm 88.7874076*cm 0.1323475*rad  |    1   1   2   2
     sl2_layer3_s1 | region1_s1 | 2.5892909*cm -6.5396071*cm 4.69835*cm | ordered: yxz 0*deg 0*deg -6*deg |   G4Trap | 0.59633*cm -0.4363323*rad 1.5707963*rad 79.1146423*cm 7.1742713*cm 89.4438328*cm 0.1323475*rad 79.1146423*cm 7.1742713*cm 89.4438328*cm 0.1323475*rad  |    1   1   2   3
     sl2_layer4_s1 | region1_s1 | 2.5854519*cm -7.2439967*cm 5.91101*cm | ordered: yxz 0*deg 0*deg -6*deg |   G4Trap | 0.59633*cm -0.4363323*rad 1.5707963*rad 79.1146423*cm 7.1026473*cm 89.3722088*cm 0.1323475*rad 79.1146423*cm 7.1026473*cm 89.3722088*cm 0.1323475*rad  |    1   1   2   4
