     sl1_layer4_s2 | region1_s2|  -2.5347*cm  -6.3807*cm  -4.9148*cm| ordered: yxz    0.0000*deg    0.0000*deg    6.0000*deg |   G4Trap |      0.5693*cm    -25.0000*deg     90.0000*deg     75.5877*cm      7.9891*cm     86.5911*cm     -7.5830*deg     75.5877*cm      7.9891*cm     86.5911*cm     -7.5830*deg |    2   1   1   4
     sl1_layer5_s2 | region1_s2|  -2.5683*cm  -5.7046*cm  -3.7562*cm| ordered: yxz    0.0000*deg    0.0000*deg    6.0000*deg |   G4Trap |      0.5693*cm    -25.0000*deg     90.0000*deg     75.5877*cm      8.6163*cm     87.2183*cm     -7.5830*deg     75.5877*cm      8.6163*cm     87.2183*cm     -7.5830*deg |    2   1   1   5
     sl1_layer6_s2 | region1_s2|  -2.5646*cm  -6.3776*cm  -2.5976*cm| ordered: yxz    0.0000*deg    0.0000*deg    6.0000*deg |   G4Trap |      0.5693*cm    -25.0000*deg     90.0000*deg     75.5877*cm      8.5478*cm     87.1498*cm     -7.5830*deg     75.5877*cm      8.5478*cm     87.1498*cm     -7.5830*deg |    2   1   1   6
     sl2_layer1_s2 | region1_s2|   2.6356*cm  -6.0802*cm   2.2736*cm| ordered: yxz    0.0000*deg    0.0000*deg   -6.0000*deg |   G4Trap |      0.5963*cm    -25.0000*deg     90.0000*deg     79.1107*cm      8.0406*cm     90.3060*cm      7.5830*deg     79.1107*cm      8.0406*cm     90.3060*cm      7.5830*deg |    2   1   2   1
     sl2_layer2_s2 | region1_s2|   2.6318*cm  -6.7846*cm   3.4862*cm| ordered: yxz    0.0000*deg    0.0000*deg   -6.0000*deg |   G4Trap |      0.5963*cm    -25.0000*deg     90.0000*deg     79.1107*cm      7.9689*cm     90.2344*cm      7.5830*deg     79.1107*cm      7.9689*cm     90.2344*cm      7.5830*deg |    2   1   2   2
     sl2_layer3_s2 | region1_s2|   2.6670*cm  -6.0769*cm   4.6988*cm| ordered: yxz    0.0000*deg    0.0000*deg   -6.0000*deg |   G4Trap |      0.5963*cm    -25.0000*deg     90.0000*deg     79.1107*cm      8.6253*cm     90.8908*cm      7.5830*deg     79.1107*cm      8.6253*cm     90.8908*cm      7.5830*deg |    2   1   2   3
     sl2_layer4_s2 | region1_s2|   2.6631*cm  -6.7813*cm   5.9114*cm| ordered: yxz    0.0000*deg    0.0000*deg   -6.0000*deg |   G4Trap |      0.5963*cm    -25.0000*deg     90.0000*deg     79.1107*cm      8.5537*cm     90.8192*cm      7.5830*deg     79.1107*cm      8.5537*cm     90.8192*cm      7.5830*deg |    2   1   2   4
     sl2_layer5_s2 | region1_s2|   2.6983*cm  -6.0736*cm   7.1240*cm| ordered: yxz    0.0000*deg    0.0000*deg   -6.0000*deg |   G4Trap |      0.5963*cm    -25.0000*deg     90.0000*deg     79.1107*cm      9.2101*cm     91.4756*cm      7.5830*deg     79.1107*cm      9.2101*cm     91.4756*cm      7.5830*deg |    2   1   2   5
     sl2_layer6_s2 | region1_s2|   2.6945*cm  -6.7780*cm   8.3366*cm| ordered: yxz    0.0000*deg    0.0000*deg   -6.0000*deg |   G4Trap |      0.5963*cm    -25.0000*deg     90.0000*deg     79.1107*cm      9.1385*cm     91.4040*cm      7.5830*deg     79.1107*cm      9.1385*cm     91.4040*cm      7.5830*deg |    2   1   2   6
        region1_s3 |       fc| -49.1267*cm  85.0900*cm 216.3785*cm| ordered: zxy  -30.0000*deg   25.0000*deg    0.0000*deg |   G4Trap |      9.0892*cm    -25.0000*deg     90.0000*deg     92.4337*cm      5.4006*cm     99.5554*cm      0.0000*deg     92.4337*cm      5.4006*cm     99.5554*cm      0.0000*deg |    3   1   0   0
     sl1_layer1_s3 | region1_s3|  -2.5084*cm  -5.7109*cm  -8.3906*cm| ordered: yxz    0.0000*deg    0.0000*deg    6.0000*deg |   G4Trap |      0.5693*cm    -25.0000*deg     90.0000*deg     75.5877*cm      7.4988*cm     86.1008*cm     -7.5830*deg     75.5877*cm      7.4988*cm     86.1008*cm     -7.5830*deg |    3   1   1   1
     sl1_layer2_s3 | region1_s3|  -2.5047*cm  -6.3839*cm  -7.2320*cm| ordered: yxz    0.0000*deg    0.0000*deg    6.0000*deg |   G4Trap |      0.5693*cm    -25.0000*deg     90.0000*deg     75.5877*cm      7.4304*cm     86.0324*cm     -7.5830*deg     75.5877*cm      7.4304*cm     86.0324*cm     -7.5830*deg |    3   1   1   2
     sl1_layer3_s3 | region1_s3|  -2.5383*cm  -5.7077*cm  -6.0734*cm| ordered: yxz    0.0000*deg    0.0000*deg    6.0000*deg |   G4Trap |      0.5693*cm    -25.0000*deg     90.0000*deg     75.5877*cm      8.0575*cm     86.6595*cm     -7.5830*deg     75.5877*cm      8.0575*cm     86.6595*cm     -7.5830*deg |    3   1   1   3
     sl1_layer4_s3 | region1_s3|  -2.5347*cm  -6.3807*cm  -4.9148*cm| ordered: yxz    0.0000*deg    0.0000*deg    6.0000*deg |   G4Trap |      0.5693*cm    -25.0000*deg     90.0000*deg     75.5877*cm      7.9891*cm     86.5911*cm     -7.5830*deg     75.5877*cm      7.9891*cm     86.5911*cm     -7.5830*deg |    3   1   1   4
     sl1_layer5_s3 | region1_s3|  -2.5683*cm  -5.7046*cm  -3.7562*cm| ordered: yxz    0.0000*deg    0.0000*deg    6.0000*deg |   G4Trap |      0.5693*cm    -25.0000*deg     90.0000*deg     75.5877*cm      8.6163*cm     87.2183*cm     -7.5830*deg     75.5877*cm      8.6163*cm     87.2183*cm     -7.5830*deg |    3   1   1   5
     sl1_layer6_s3 | region1_s3|  -2.5646*cm  -6.3776*cm  -2.5976*cm| ordered: yxz    0.0000*deg    0.0000*deg    6.0000*deg |   G4Trap |      0.5693*cm    -25.0000*deg     90.0000*deg     75.5877*cm      8.5478*cm     87.1498*cm     -7.5830*deg     75.5877*cm      8.5478*cm     87.1498*cm     -7.5830*deg |    3   1   1   6
     sl2_layer1_s3 | region1_s3|   2.6356*cm  -6.0802*cm   2.2736*cm| ordered: yxz    0.0000*deg    0.0000*deg   -6.0000*deg |   G4Trap |      0.5963*cm    -25.0000*deg     90.0000*deg     79.1107*cm      8.0406*cm     90.3060*cm      7.5830*deg     79.1107*cm      8.0406*cm     90.3060*cm      7.5830*deg |    3   1   2   1
     sl2_layer2_s3 | region1_s3|   2.6318*cm  -6.7846*cm   3.4862*cm| ordered: yxz    0.0000*deg    0.0000*deg   -6.0000*deg |   G4Trap |      0.5963*cm    -25.0000*deg     90.0000*deg     79.1107*cm      7.9689*cm     90.2344*cm      7.5830*deg     79.1107*cm      7.9689*cm     90.2344*cm      7.5830*deg |    3   1   2   2
     sl2_layer3_s3 | region1_s3|   2.6670*cm  -6.0769*cm   4.6988*cm| ordered: yxz    0.0000*deg    0.0000*deg   -6.0000*deg |   G4Trap |      0.5963*cm    -25.0000*deg     90.0000*deg     79.1107*cm      8.6253*cm     90.8908*cm      7.5830*deg     79.1107*cm      8.6253*cm     90.8908*cm      7.5830*deg |    3   1   2   3
     sl2_layer4_s3 | region1_s3|   2.6631*cm  -6.7813*cm   5.9114*cm| ordered: yxz    0.0000*deg    0.0000*deg   -6.0000*deg |   G4Trap |      0.5963*cm    -25.0000*deg     90.0000*deg     79.1107*cm      8.5537*cm     90.8192*cm      7.5830*deg     79.1107*cm      8.5537*cm     90.8192*cm      7.5830*deg |    3   1   2   4
     sl2_layer5_s3 | region1_s3|   2.6983*cm  -6.0736*cm   7.1240*cm| ordered: yxz    0.0000*deg    0.0000*deg   -6.0000*deg |   G4Trap |      0.5963*cm    -25.0000*deg     90.0000*deg     79.1107*cm      9.2101*cm     91.4756*cm      7.5830*deg     79.1107*cm      9.2101*cm     91.4756*cm      7.5830*deg |    3   1   2   5
     sl2_layer6_s3 | region1_s3|   2.6945*cm  -6.7780*cm   8.3366*cm| ordered: yxz    0.0000*deg    0.0000*deg   -6.0000*deg |   G4Trap |      0.5963*cm    -25.0000*deg     90.0000*deg     79.1107*cm      9.1385*cm     91.4040*cm      7.5830*deg     79.1107*cm      9.1385*cm     91.4040*cm      7.5830*deg |    3   1   2   6
        region1_s4 |       fc| -98.2535*cm   0.0000*cm 216.3785*cm| ordered: zxy  -90.0000*deg   25.0000*deg    0.0000*deg |   G4Trap |      9.0892*cm    -25.0000*deg     90.0000*deg     92.4337*cm      5.4006*cm     99.5554*cm      0.0000*deg     92.4337*cm      5.4006*cm     99.5554*cm      0.0000*deg |    4   1   0   0
     sl1_layer1_s4 | region1_s4|  -2.5084*cm  -5.7109*cm  -8.3906*cm| ordered: yxz    0.0000*deg    0.0000*deg    6.0000*deg |   G4Trap |      0.5693*cm    -25.0000*deg     90.0000*deg     75.5877*cm      7.4988*cm     86.1008*cm     -7.5830*deg     75.5877*cm      7.4988*cm     86.1008*cm     -7.5830*deg |    4   1   1   1
     sl1_layer2_s4 | region1_s4|  -2.5047*cm  -6.3839*cm  -7.2320*cm| ordered: yxz    0.0000*deg    0.0000*deg    6.0000*deg |   G4Trap |      0.5693*cm    -25.0000*deg     90.0000*deg     75.5877*cm      7.4304*cm     86.0324*cm     -7.5830*deg     75.5877*cm      7.4304*cm     86.0324*cm     -7.5830*deg |    4   1   1   2
     sl1_layer3_s4 | region1_s4|  -2.5383*cm  -5.7077*cm  -6.0734*cm| ordered: yxz    0.0000*deg    0.0000*deg    6.0000*deg |   G4Trap |      0.5693*cm    -25.0000*deg     90.0000*deg     75.5877*cm      8.0575*cm     86.6595*cm     -7.5830*deg     75.5877*cm      8.0575*cm     86.6595*cm     -7.5830*deg |    4   1   1   3
     sl1_layer4_s4 | region1_s4|  -2.5347*cm  -6.3807*cm  -4.9148*cm| ordered: yxz    0.0000*deg    0.0000*deg    6.0000*deg |   G4Trap |      0.5693*cm    -25.0000*deg     90.0000*deg     75.5877*cm      7.9891*cm     86.5911*cm     -7.5830*deg     75.5877*cm      7.9891*cm     86.5911*cm     -7.5830*deg |    4   1   1   4
     sl1_layer5_s4 | region1_s4|  -2.5683*cm  -5.7046*cm  -3.7562*cm| ordered: yxz    0.0000*deg    0.0000*deg    6.0000*deg |   G4Trap |      0.5693*cm    -25.0000*deg     90.0000*deg     75.5877*cm      8.6163*cm     87.2183*cm     -7.5830*deg     75.5877*cm      8.6163*cm     87.2183*cm     -7.5830*deg |    4   1   1   5
     sl1_layer6_s4 | region1_s4|  -2.5646*cm  -6.3776*cm  -2.5976*cm| ordered: yxz    0.0000*deg    0.0000*deg    6.0000*deg |   G4Trap |      0.5693*cm    -25.0000*deg     90.0000*deg     75.5877*cm      8.5478*cm     87.1498*cm     -7.5830*deg     75.5877*cm      8.5478*cm     87.1498*cm     -7.5830*deg |    4   1   1   6
     sl2_layer1_s4 | region1_s4|   2.6356*cm  -6.0802*cm   2.2736*cm| ordered: yxz    0.0000*deg    0.0000*deg   -6.0000*deg |   G4Trap |      0.5963*cm    -25.0000*deg     90.0000*deg     79.1107*cm      8.0406*cm     90.3060*cm      7.5830*deg     79.1107*cm      8.0406*cm     90.3060*cm      7.5830*deg |    4   1   2   1
     sl2_layer2_s4 | region1_s4|   2.6318*cm  -6.7846*cm   3.4862*cm| ordered: yxz    0.0000*deg    0.0000*deg   -6.0000*deg |   G4Trap |      0.5963*cm    -25.0000*deg     90.0000*deg     79.1107*cm      7.9689*cm     90.2344*cm      7.5830*deg     79.1107*cm      7.9689*cm     90.2344*cm      7.5830*deg |    4   1   2   2
     sl2_layer3_s4 | region1_s4|   2.6670*cm  -6.0769*cm   4.6988*cm| ordered: yxz    0.0000*deg    0.0000*deg   -6.0000*deg |   G4Trap |      0.5963*cm    -25.0000*deg     90.0000*deg     79.1107*cm      8.6253*cm     90.8908*cm      7.5830*deg     79.1107*cm      8.6253*cm     90.8908*cm      7.5830*deg |    4   1   2   3
     sl2_layer4_s4 | region1_s4|   2.6631*cm  -6.7813*cm   5.9114*cm| ordered: yxz    0.0000*deg    0.0000*deg   -6.0000*deg |   G4Trap |      0.5963*cm    -25.0000*deg     90.0000*deg     79.1107*cm      8.5537*cm     90.8192*cm      7.5830*deg     79.1107*cm      8.5537*cm     90.8192*cm      7.5830*deg |    4   1   2   4
     sl2_layer5_s4 | region1_s4|   2.6983*cm  -6.0736*cm   7.1240*cm| ordered: yxz    0.0000*deg    0.0000*deg   -6.0000*deg |   G4Trap |      0.5963*cm    -25.0000*deg     90.0000*deg     79.1107*cm      9.2101*cm     91.4756*cm      7.5830*deg     79.1107*cm      9.2101*cm     91.4756*cm      7.5830*deg |    4   1   2   5
     sl2_layer6_s4 | region1_s4|   2.6945*cm  -6.7780*cm   8.3366*cm| ordered: yxz    0.0000*deg    0.0000*deg   -6.0000*deg |   G4Trap |      0.5963*cm    -25.0000*deg     90.0000*deg     79.1107*cm      9.1385*cm     91.4040*cm      7.5830*deg     79.1107*cm      9.1385*cm     91.4040*cm      7.5830*deg |    4   1   2   6
        region1_s5 |       fc| -49.1267*cm -85.0900*cm 216.3785*cm| ordered: zxy  -150.0000*deg   25.0000*deg    0.0000*deg |   G4Trap |      9.0892*cm    -25.0000*deg     90.0000*deg     92.4337*cm      5.4006*cm     99.5554*cm      0.0000*deg     92.4337*cm      5.4006*cm     99.5554*cm      0.0000*deg |    5   1   0   0
     sl1_layer1_s5 | region1_s5|  -2.5084*cm  -5.7109*cm  -8.3906*cm| ordered: yxz    0.0000*deg    0.0000*deg    6.0000*deg |   G4Trap |      0.5693*cm    -25.0000*deg     90.0000*deg     75.5877*cm      7.4988*cm     86.1008*cm     -7.5830*deg     75.5877*cm      7.4988*cm     86.1008*cm     -7.5830*deg |    5   1   1   1
     sl1_layer2_s5 | region1_s5|  -2.5047*cm  -6.3839*cm  -7.2320*cm| ordered: yxz    0.0000*deg    0.0000*deg    6.0000*deg |   G4Trap |      0.5693*cm    -25.0000*deg     90.0000*deg     75.5877*cm      7.4304*cm     86.0324*cm     -7.5830*deg     75.5877*cm      7.4304*cm     86.0324*cm     -7.5830*deg |    5   1   1   2
     sl1_layer3_s5 | region1_s5|  -2.5383*cm  -5.7077*cm  -6.0734*cm| ordered: yxz    0.0000*deg    0.0000*deg    6.0000*deg |   G4Trap |      0.5693*cm    -25.0000*deg     90.0000*deg     75.5877*cm      8.0575*cm     86.6595*cm     -7.5830*deg     75.5877*cm      8.0575*cm     86.6595*cm     -7.5830*deg |    5   1   1   3
     sl1_layer4_s5 | region1_s5|  -2.5347*cm  -6.3807*cm  -4.9148*cm| ordered: yxz    0.0000*deg    0.0000*deg    6.0000*deg |   G4Trap |      0.5693*cm    -25.0000*deg     90.0000*deg     75.5877*cm      7.9891*cm     86.5911*cm     -7.5830*deg     75.5877*cm      7.9891*cm     86.5911*cm     -7.5830*deg |    5   1   1   4
     sl1_layer5_s5 | region1_s5|  -2.5683*cm  -5.7046*cm  -3.7562*cm| ordered: yxz    0.0000*deg    0.0000*deg    6.0000*deg |   G4Trap |      0.5693*cm    -25.0000*deg     90.0000*deg     75.5877*cm      8.6163*cm     87.2183*cm     -7.5830*deg     75.5877*cm      8.6163*cm     87.2183*cm     -7.5830*deg |    5   1   1   5
     sl1_layer6_s5 | region1_s5|  -2.5646*cm  -6.3776*cm  -2.5976*cm| ordered: yxz    0.0000*deg    0.0000*deg    6.0000*deg |   G4Trap |      0.5693*cm    -25.0000*deg     90.0000*deg     75.5877*cm      8.5478*cm     87.1498*cm     -7.5830*deg     75.5877*cm      8.5478*cm     87.1498*cm     -7.5830*deg |    5   1   1   6
     sl2_layer1_s5 | region1_s5|   2.6356*cm  -6.0802*cm   2.2736*cm| ordered: yxz    0.0000*deg    0.0000*deg   -6.0000*deg |   G4Trap |      0.5963*cm    -25.0000*deg     90.0000*deg     79.1107*cm      8.0406*cm     90.3060*cm      7.5830*deg     79.1107*cm      8.0406*cm     90.3060*cm      7.5830*deg |    5   1   2   1
     sl2_layer2_s5 | region1_s5|   2.6318*cm  -6.7846*cm   3.4862*cm| ordered: yxz    0.0000*deg    0.0000*deg   -6.0000*deg |   G4Trap |      0.5963*cm    -25.0000*deg     90.0000*deg     79.1107*cm      7.9689*cm     90.2344*cm      7.5830*deg     79.1107*cm      7.9689*cm     90.2344*cm      7.5830*deg |    5   1   2   2
     sl2_layer3_s5 | region1_s5|   2.6670*cm  -6.0769*cm   4.6988*cm| ordered: yxz    0.0000*deg    0.0000*deg   -6.0000*deg |   G4Trap |      0.5963*cm    -25.0000*deg     90.0000*deg     79.1107*cm      8.6253*cm     90.8908*cm      7.5830*deg     79.1107*cm      8.6253*cm     90.8908*cm      7.5830*deg |    5   1   2   3
     sl2_layer4_s5 | region1_s5|   2.6631*cm  -6.7813*cm   5.9114*cm| ordered: yxz    0.0000*deg    0.0000*deg   -6.0000*deg |   G4Trap |      0.5963*cm    -25.0000*deg     90.0000*deg     79.1107*cm      8.5537*cm     90.8192*cm      7.5830*deg     79.1107*cm      8.5537*cm     90.8192*cm      7.5830*deg |    5   1   2   4
     sl2_layer5_s5 | region1_s5|   2.6983*cm  -6.0736*cm   7.1240*cm| ordered: yxz    0.0000*deg    0.0000*deg   -6.0000*deg |   G4Trap |      0.5963*cm    -25.0000*deg     90.0000*deg     79.1107*cm      9.2101*cm     91.4756*cm      7.5830*deg     79.1107*cm      9.2101*cm     91.4756*cm      7.5830*deg |    5   1   2   5
     sl2_layer6_s5 | region1_s5|   2.6945*cm  -6.7780*cm   8.3366*cm| ordered: yxz    0.0000*deg    0.0000*deg   -6.0000*deg |   G4Trap |      0.5963*cm    -25.0000*deg     90.0000*deg     79.1107*cm      9.1385*cm     91.4040*cm      7.5830*deg     79.1107*cm      9.1385*cm     91.4040*cm      7.5830*deg |    5   1   2   6
        region1_s6 |       fc|  49.1267*cm -85.0900*cm 216.3785*cm| ordered: zxy  -210.0000*deg   25.0000*deg    0.0000*deg |   G4Trap |      9.0892*cm    -25.0000*deg     90.0000*deg     92.4337*cm      5.4006*cm     99.5554*cm      0.0000*deg     92.4337*cm      5.4006*cm     99.5554*cm      0.0000*deg |    6   1   0   0
     sl1_layer1_s6 | region1_s6|  -2.5084*cm  -5.7109*cm  -8.3906*cm| ordered: yxz    0.0000*deg    0.0000*deg    6.0000*deg |   G4Trap |      0.5693*cm    -25.0000*deg     90.0000*deg     75.5877*cm      7.4988*cm     86.1008*cm     -7.5830*deg     75.5877*cm      7.4988*cm     86.1008*cm     -7.5830*deg |    6   1   1   1
     sl1_layer2_s6 | region1_s6|  -2.5047*cm  -6.3839*cm  -7.2320*cm| ordered: yxz    0.0000*deg    0.0000*deg    6.0000*deg |   G4Trap |      0.5693*cm    -25.0000*deg     90.0000*deg     75.5877*cm      7.4304*cm     86.0324*cm     -7.5830*deg     75.5877*cm      7.4304*cm     86.0324*cm     -7.5830*deg |    6   1   1   2
     sl1_layer3_s6 | region1_s6|  -2.5383*cm  -5.7077*cm  -6.0734*cm| ordered: yxz    0.0000*deg    0.0000*deg    6.0000*deg |   G4Trap |      0.5693*cm    -25.0000*deg     90.0000*deg     75.5877*cm      8.0575*cm     86.6595*cm     -7.5830*deg     75.5877*cm      8.0575*cm     86.6595*cm     -7.5830*deg |    6   1   1   3
     sl1_layer4_s6 | region1_s6|  -2.5347*cm  -6.3807*cm  -4.9148*cm| ordered: yxz    0.0000*deg    0.0000*deg    6.0000*deg |   G4Trap |      0.5693*cm    -25.0000*deg     90.0000*deg     75.5877*cm      7.9891*cm     86.5911*cm     -7.5830*deg     75.5877*cm      7.9891*cm     86.5911*cm     -7.5830*deg |    6   1   1   4
     sl1_layer5_s6 | region1_s6|  -2.5683*cm  -5.7046*cm  -3.7562*cm| ordered: yxz    0.0000*deg    0.0000*deg    6.0000*deg |   G4Trap |      0.5693*cm    -25.0000*deg     90.0000*deg     75.5877*cm      8.6163*cm     87.2183*cm     -7.5830*deg     75.5877*cm      8.6163*cm     87.2183*cm     -7.5830*deg |    6   1   1   5
     sl1_layer6_s6 | region1_s6|  -2.5646*cm  -6.3776*cm  -2.5976*cm| ordered: yxz    0.0000*deg    0.0000*deg    6.0000*deg |   G4Trap |      0.5693*cm    -25.0000*deg     90.0000*deg     75.5877*cm      8.5478*cm     87.1498*cm     -7.5830*deg     75.5877*cm      8.5478*cm     87.1498*cm     -7.5830*deg |    6   1   1   6
     sl2_layer1_s6 | region1_s6|   2.6356*cm  -6.0802*cm   2.2736*cm| ordered: yxz    0.0000*deg    0.0000*deg   -6.0000*deg |   G4Trap |      0.5963*cm    -25.0000*deg     90.0000*deg     79.1107*cm      8.0406*cm     90.3060*cm      7.5830*deg     79.1107*cm      8.0406*cm     90.3060*cm      7.5830*deg |    6   1   2   1
     sl2_layer2_s6 | region1_s6|   2.6318*cm  -6.7846*cm   3.4862*cm| ordered: yxz    0.0000*deg    0.0000*deg   -6.0000*deg |   G4Trap |      0.5963*cm    -25.0000*deg     90.0000*deg     79.1107*cm      7.9689*cm     90.2344*cm      7.5830*deg     79.1107*cm      7.9689*cm     90.2344*cm      7.5830*deg |    6   1   2   2
     sl2_layer3_s6 | region1_s6|   2.6670*cm  -6.0769*cm   4.6988*cm| ordered: yxz    0.0000*deg    0.0000*deg   -6.0000*deg |   G4Trap |      0.5963*cm    -25.0000*deg     90.0000*deg     79.1107*cm      8.6253*cm     90.8908*cm      7.5830*deg     79.1107*cm      8.6253*cm     90.8908*cm      7.5830*deg |    6   1   2   3
