superlayer0_layer0_ahdccell1_subcell1 | root|   0.0000*mm   0.0000*mm 127.7000*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap | 150.0000*mm      -0.000000*mm     -34.000000*mm      -2.270950*mm     -33.924074*mm      -2.003779*mm     -29.933006*mm      -0.000000*mm     -30.000000*mm     -11.628685*mm     -31.949549*mm     -13.736711*mm     -31.101491*mm     -12.120627*mm     -27.442492*mm     -10.260604*mm     -28.190779*mm  |  0 0 1
superlayer0_layer0_ahdccell1_subcell2 | root|   0.0000*mm   0.0000*mm 127.7000*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap | 150.0000*mm      -0.000000*mm     -30.000000*mm       2.003779*mm     -29.933006*mm       2.270950*mm     -33.924074*mm      -0.000000*mm     -34.000000*mm     -10.260604*mm     -28.190779*mm      -8.354755*mm     -28.813158*mm      -9.468722*mm     -32.654912*mm     -11.628685*mm     -31.949549*mm  |  0 0 1
superlayer0_layer0_ahdccell2_subcell1 | root|   0.0000*mm   0.0000*mm 127.7000*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap | 150.0000*mm      -4.531756*mm     -33.696635*mm      -6.772323*mm     -33.318698*mm      -5.975580*mm     -29.398851*mm      -3.998609*mm     -29.732325*mm     -15.783386*mm     -30.114527*mm     -17.759568*mm     -28.993064*mm     -15.670207*mm     -25.582115*mm     -13.926517*mm     -26.571641*mm  |  0 0 2
superlayer0_layer0_ahdccell2_subcell2 | root|   0.0000*mm   0.0000*mm 127.7000*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap | 150.0000*mm      -3.998609*mm     -29.732325*mm      -2.003779*mm     -29.933006*mm      -2.270950*mm     -33.924074*mm      -4.531756*mm     -33.696635*mm     -13.926517*mm     -26.571641*mm     -12.120627*mm     -27.442492*mm     -13.736711*mm     -31.101491*mm     -15.783386*mm     -30.114527*mm  |  0 0 2
superlayer0_layer0_ahdccell3_subcell1 | root|   0.0000*mm   0.0000*mm 127.7000*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap | 150.0000*mm      -8.982644*mm     -32.791952*mm     -11.152845*mm     -32.118749*mm      -9.840746*mm     -28.340073*mm      -7.925862*mm     -28.934075*mm     -19.656432*mm     -27.742110*mm     -21.465505*mm     -26.367254*mm     -18.940152*mm     -23.265224*mm     -17.343911*mm     -24.478333*mm  |  0 0 3
superlayer0_layer0_ahdccell3_subcell2 | root|   0.0000*mm   0.0000*mm 127.7000*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap | 150.0000*mm      -7.925862*mm     -28.934075*mm      -5.975580*mm     -29.398851*mm      -6.772323*mm     -33.318698*mm      -8.982644*mm     -32.791952*mm     -17.343911*mm     -24.478333*mm     -15.670207*mm     -25.582115*mm     -17.759568*mm     -28.993064*mm     -19.656432*mm     -27.742110*mm  |  0 0 3
superlayer0_layer0_ahdccell4_subcell1 | root|   0.0000*mm   0.0000*mm 127.7000*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap | 150.0000*mm     -13.273235*mm     -31.302096*mm     -15.334344*mm     -30.345640*mm     -13.530304*mm     -26.775565*mm     -11.711678*mm     -27.619497*mm     -23.178709*mm     -24.874635*mm     -24.788390*mm     -23.270920*mm     -21.872109*mm     -20.533165*mm     -20.451802*mm     -21.948207*mm  |  0 0 4
superlayer0_layer0_ahdccell4_subcell2 | root|   0.0000*mm   0.0000*mm 127.7000*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap | 150.0000*mm     -11.711678*mm     -27.619497*mm      -9.840746*mm     -28.340073*mm     -11.152845*mm     -32.118749*mm     -13.273235*mm     -31.302096*mm     -20.451802*mm     -21.948207*mm     -18.940152*mm     -23.265224*mm     -21.465505*mm     -26.367254*mm     -23.178709*mm     -24.874635*mm  |  0 0 4
superlayer0_layer0_ahdccell5_subcell1 | root|   0.0000*mm   0.0000*mm 127.7000*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap | 150.0000*mm     -17.326966*mm     -29.253654*mm     -19.242201*mm     -28.031013*mm     -16.978413*mm     -24.733247*mm     -15.288499*mm     -25.812047*mm     -26.287361*mm     -21.563271*mm     -27.668926*mm     -19.759316*mm     -24.413758*mm     -17.434690*mm     -23.194730*mm     -19.026416*mm  |  0 0 5
superlayer0_layer0_ahdccell5_subcell2 | root|   0.0000*mm   0.0000*mm 127.7000*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap | 150.0000*mm     -15.288499*mm     -25.812047*mm     -13.530304*mm     -26.775565*mm     -15.334344*mm     -30.345640*mm     -17.326966*mm     -29.253654*mm     -23.194730*mm     -19.026416*mm     -21.872109*mm     -20.533165*mm     -24.788390*mm     -23.270920*mm     -26.287361*mm     -21.563271*mm  |  0 0 5
superlayer0_layer0_ahdccell6_subcell1 | root|   0.0000*mm   0.0000*mm 127.7000*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap | 150.0000*mm     -21.071496*mm     -26.683179*mm     -22.806681*mm     -25.216172*mm     -20.123542*mm     -22.249563*mm     -18.592497*mm     -23.543982*mm     -28.926914*mm     -17.867110*mm     -30.055708*mm     -15.895106*mm     -26.519743*mm     -14.025094*mm     -25.523748*mm     -15.765097*mm  |  0 0 6
