       sl1_layer1_s4  |          region1_s4  |Region 1, Super Layer 1, layer 1, Sector 4  |            -2.494706*cm -5.241092*cm -8.390510*cm  |    ordered: yxz 0.0*deg 0.0*deg 6.0*deg  |99aaff2   |              G4Trap  |0.56924*cm -0.4363323129985824*rad 1.5707963267948966*rad 75.57990760314016*cm 7.247415957575475*cm 85.84128533399023*cm -0.13234748605531266*rad 75.57990760314016*cm 7.247415957575475*cm 85.84128533399023*cm -0.13234748605531266*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 4 superlayer manual 1 layer manual 1 wire manual 1 
       sl1_layer1_s5  |          region1_s5  |Region 1, Super Layer 1, layer 1, Sector 5  |            -2.494706*cm -5.241092*cm -8.390510*cm  |    ordered: yxz 0.0*deg 0.0*deg 6.0*deg  |99aaff2   |              G4Trap  |0.56924*cm -0.4363323129985824*rad 1.5707963267948966*rad 75.57990760314016*cm 7.247415957575475*cm 85.84128533399023*cm -0.13234748605531266*rad 75.57990760314016*cm 7.247415957575475*cm 85.84128533399023*cm -0.13234748605531266*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 5 superlayer manual 1 layer manual 1 wire manual 1 
       sl1_layer1_s6  |          region1_s6  |Region 1, Super Layer 1, layer 1, Sector 6  |            -2.494706*cm -5.241092*cm -8.390510*cm  |    ordered: yxz 0.0*deg 0.0*deg 6.0*deg  |99aaff2   |              G4Trap  |0.56924*cm -0.4363323129985824*rad 1.5707963267948966*rad 75.57990760314016*cm 7.247415957575475*cm 85.84128533399023*cm -0.13234748605531266*rad 75.57990760314016*cm 7.247415957575475*cm 85.84128533399023*cm -0.13234748605531266*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 6 superlayer manual 1 layer manual 1 wire manual 1 
       sl1_layer2_s1  |          region1_s1  |Region 1, Super Layer 1, layer 2, Sector 1  |            -2.491038*cm -5.914011*cm -7.232030*cm  |    ordered: yxz 0.0*deg 0.0*deg 6.0*deg  |99aaff2   |              G4Trap  |0.56924*cm -0.4363323129985824*rad 1.5707963267948966*rad 75.57990760314013*cm 7.178992017710139*cm 85.77286139412487*cm -0.13234748605531266*rad 75.57990760314013*cm 7.178992017710139*cm 85.77286139412487*cm -0.13234748605531266*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 1 superlayer manual 1 layer manual 2 wire manual 1 
       sl1_layer2_s2  |          region1_s2  |Region 1, Super Layer 1, layer 2, Sector 2  |            -2.491038*cm -5.914011*cm -7.232030*cm  |    ordered: yxz 0.0*deg 0.0*deg 6.0*deg  |99aaff2   |              G4Trap  |0.56924*cm -0.4363323129985824*rad 1.5707963267948966*rad 75.57990760314013*cm 7.178992017710139*cm 85.77286139412487*cm -0.13234748605531266*rad 75.57990760314013*cm 7.178992017710139*cm 85.77286139412487*cm -0.13234748605531266*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 2 superlayer manual 1 layer manual 2 wire manual 1 
       sl1_layer2_s3  |          region1_s3  |Region 1, Super Layer 1, layer 2, Sector 3  |            -2.491038*cm -5.914011*cm -7.232030*cm  |    ordered: yxz 0.0*deg 0.0*deg 6.0*deg  |99aaff2   |              G4Trap  |0.56924*cm -0.4363323129985824*rad 1.5707963267948966*rad 75.57990760314013*cm 7.178992017710139*cm 85.77286139412487*cm -0.13234748605531266*rad 75.57990760314013*cm 7.178992017710139*cm 85.77286139412487*cm -0.13234748605531266*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 3 superlayer manual 1 layer manual 2 wire manual 1 
       sl1_layer2_s4  |          region1_s4  |Region 1, Super Layer 1, layer 2, Sector 4  |            -2.491038*cm -5.914011*cm -7.232030*cm  |    ordered: yxz 0.0*deg 0.0*deg 6.0*deg  |99aaff2   |              G4Trap  |0.56924*cm -0.4363323129985824*rad 1.5707963267948966*rad 75.57990760314013*cm 7.178992017710139*cm 85.77286139412487*cm -0.13234748605531266*rad 75.57990760314013*cm 7.178992017710139*cm 85.77286139412487*cm -0.13234748605531266*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 4 superlayer manual 1 layer manual 2 wire manual 1 
       sl1_layer2_s5  |          region1_s5  |Region 1, Super Layer 1, layer 2, Sector 5  |            -2.491038*cm -5.914011*cm -7.232030*cm  |    ordered: yxz 0.0*deg 0.0*deg 6.0*deg  |99aaff2   |              G4Trap  |0.56924*cm -0.4363323129985824*rad 1.5707963267948966*rad 75.57990760314013*cm 7.178992017710139*cm 85.77286139412487*cm -0.13234748605531266*rad 75.57990760314013*cm 7.178992017710139*cm 85.77286139412487*cm -0.13234748605531266*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 5 superlayer manual 1 layer manual 2 wire manual 1 
       sl1_layer2_s6  |          region1_s6  |Region 1, Super Layer 1, layer 2, Sector 6  |            -2.491038*cm -5.914011*cm -7.232030*cm  |    ordered: yxz 0.0*deg 0.0*deg 6.0*deg  |99aaff2   |              G4Trap  |0.56924*cm -0.4363323129985824*rad 1.5707963267948966*rad 75.57990760314013*cm 7.178992017710139*cm 85.77286139412487*cm -0.13234748605531266*rad 75.57990760314013*cm 7.178992017710139*cm 85.77286139412487*cm -0.13234748605531266*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 6 superlayer manual 1 layer manual 2 wire manual 1 
       sl1_layer3_s1  |          region1_s1  |Region 1, Super Layer 1, layer 3, Sector 1  |            -2.524650*cm -5.237945*cm -6.073550*cm  |    ordered: yxz 0.0*deg 0.0*deg 6.0*deg  |99aaff2   |              G4Trap  |0.56924*cm -0.4363323129985824*rad 1.5707963267948966*rad 75.57990760314016*cm 7.8060890457776795*cm 86.39995842219244*cm -0.13234748605531266*rad 75.57990760314016*cm 7.8060890457776795*cm 86.39995842219244*cm -0.13234748605531266*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 1 superlayer manual 1 layer manual 3 wire manual 1 
