     sl1_layer2_s2 | region1_s2 | -2.491049*cm -5.913971*cm -7.232030*cm | ordered: yxz 0.0*deg 0.0*deg 6.0*deg |   G4Trap | 0.56924*cm -0.4363323129985824*rad 1.5707963267948966*rad 75.57990760314013*cm 7.179185368671571*cm 85.7730547450863*cm -0.13234748605531266*rad 75.57990760314013*cm 7.179185368671571*cm 85.7730547450863*cm -0.13234748605531266*rad  |    2   1   1   2
     sl1_layer3_s2 | region1_s2 | -2.524660*cm -5.237906*cm -6.073550*cm | ordered: yxz 0.0*deg 0.0*deg 6.0*deg |   G4Trap | 0.56924*cm -0.4363323129985824*rad 1.5707963267948966*rad 75.57990760314014*cm 7.80628239673911*cm 86.40015177315385*cm -0.13234748605531266*rad 75.57990760314014*cm 7.80628239673911*cm 86.40015177315385*cm -0.13234748605531266*rad  |    2   1   1   3
     sl1_layer4_s2 | region1_s2 | -2.520993*cm -5.910824*cm -4.915070*cm | ordered: yxz 0.0*deg 0.0*deg 6.0*deg |   G4Trap | 0.56924*cm -0.4363323129985824*rad 1.5707963267948966*rad 75.57990760314013*cm 7.737858456873774*cm 86.33172783328851*cm -0.13234748605531266*rad 75.57990760314013*cm 7.737858456873774*cm 86.33172783328851*cm -0.13234748605531266*rad  |    2   1   1   4
     sl1_layer5_s2 | region1_s2 | -2.554604*cm -5.234758*cm -3.756590*cm | ordered: yxz 0.0*deg 0.0*deg 6.0*deg |   G4Trap | 0.56924*cm -0.4363323129985824*rad 1.5707963267948966*rad 75.57990760314013*cm 8.36495548494131*cm 86.95882486135606*cm -0.13234748605531266*rad 75.57990760314013*cm 8.36495548494131*cm 86.95882486135606*cm -0.13234748605531266*rad  |    2   1   1   5
     sl1_layer6_s2 | region1_s2 | -2.550937*cm -5.907677*cm -2.598110*cm | ordered: yxz 0.0*deg 0.0*deg 6.0*deg |   G4Trap | 0.56924*cm -0.4363323129985824*rad 1.5707963267948966*rad 75.57990760314013*cm 8.296531545075975*cm 86.89040092149072*cm -0.13234748605531266*rad 75.57990760314013*cm 8.296531545075975*cm 86.89040092149072*cm -0.13234748605531266*rad  |    2   1   1   6
     sl2_layer1_s2 | region1_s2 | 2.596977*cm -6.513092*cm 2.273030*cm | ordered: yxz 0.0*deg 0.0*deg -6.0*deg |   G4Trap | 0.59633*cm -0.4363323129985824*rad 1.5707963267948966*rad 79.11464225021055*cm 7.317674013959217*cm 89.58723554113546*cm 0.13234748605531266*rad 79.11464225021055*cm 7.317674013959217*cm 89.58723554113546*cm 0.13234748605531266*rad  |    2   1   2   1
     sl2_layer2_s2 | region1_s2 | 2.593138*cm -7.217482*cm 3.485690*cm | ordered: yxz 0.0*deg 0.0*deg -6.0*deg |   G4Trap | 0.59633*cm -0.4363323129985824*rad 1.5707963267948966*rad 79.11464225021055*cm 7.246050011026841*cm 89.51561153820306*cm 0.13234748605531266*rad 79.11464225021055*cm 7.246050011026841*cm 89.51561153820306*cm 0.13234748605531266*rad  |    2   1   2   2
     sl2_layer3_s2 | region1_s2 | 2.628321*cm -6.509798*cm 4.698350*cm | ordered: yxz 0.0*deg 0.0*deg -6.0*deg |   G4Trap | 0.59633*cm -0.4363323129985824*rad 1.5707963267948966*rad 79.11464225021055*cm 7.902475225149122*cm 90.17203675232535*cm 0.13234748605531266*rad 79.11464225021055*cm 7.902475225149122*cm 90.17203675232535*cm 0.13234748605531266*rad  |    2   1   2   3
     sl2_layer4_s2 | region1_s2 | 2.624483*cm -7.214187*cm 5.911010*cm | ordered: yxz 0.0*deg 0.0*deg -6.0*deg |   G4Trap | 0.59633*cm -0.4363323129985824*rad 1.5707963267948966*rad 79.11464225021055*cm 7.830851222216746*cm 90.10041274939297*cm 0.13234748605531288*rad 79.11464225021055*cm 7.830851222216746*cm 90.10041274939297*cm 0.13234748605531288*rad  |    2   1   2   4
     sl2_layer5_s2 | region1_s2 | 2.659666*cm -6.506503*cm 7.123670*cm | ordered: yxz 0.0*deg 0.0*deg -6.0*deg |   G4Trap | 0.59633*cm -0.4363323129985824*rad 1.5707963267948966*rad 79.11464225021055*cm 8.487276436339027*cm 90.75683796351524*cm 0.13234748605531266*rad 79.11464225021055*cm 8.487276436339027*cm 90.75683796351524*cm 0.13234748605531266*rad  |    2   1   2   5
     sl2_layer6_s2 | region1_s2 | 2.655827*cm -7.210893*cm 8.336330*cm | ordered: yxz 0.0*deg 0.0*deg -6.0*deg |   G4Trap | 0.59633*cm -0.4363323129985824*rad 1.5707963267948966*rad 79.11464225021055*cm 8.415652433406652*cm 90.68521396058287*cm 0.13234748605531266*rad 79.11464225021055*cm 8.415652433406652*cm 90.68521396058287*cm 0.13234748605531266*rad  |    2   1   2   6
        region1_s3 |       fc | -49.205337*cm 85.226144*cm 216.302723*cm | ordered: zxy -29.999999999999996*deg 25.0*deg 0.0*deg |   G4Trap | 9.088989999999999*cm -0.4363323129985824*rad 1.5707963267948966*rad 91.92951687874792*cm 5.1643245076018545*cm 98.80210210179095*cm 0.0*rad 91.92951687874792*cm 5.1643245076018545*cm 98.80210210179095*cm 0.0*rad  |    3   1   0   0
     sl1_layer1_s3 | region1_s3 | -2.494716*cm -5.241053*cm -8.390510*cm | ordered: yxz 0.0*deg 0.0*deg 6.0*deg |   G4Trap | 0.56924*cm -0.4363323129985824*rad 1.5707963267948966*rad 75.57990760314013*cm 7.247609308536908*cm 85.84147868495164*cm -0.13234748605531266*rad 75.57990760314013*cm 7.247609308536908*cm 85.84147868495164*cm -0.13234748605531266*rad  |    3   1   1   1
     sl1_layer2_s3 | region1_s3 | -2.491049*cm -5.913971*cm -7.232030*cm | ordered: yxz 0.0*deg 0.0*deg 6.0*deg |   G4Trap | 0.56924*cm -0.4363323129985824*rad 1.5707963267948966*rad 75.57990760314013*cm 7.179185368671571*cm 85.7730547450863*cm -0.13234748605531266*rad 75.57990760314013*cm 7.179185368671571*cm 85.7730547450863*cm -0.13234748605531266*rad  |    3   1   1   2
     sl1_layer3_s3 | region1_s3 | -2.524660*cm -5.237906*cm -6.073550*cm | ordered: yxz 0.0*deg 0.0*deg 6.0*deg |   G4Trap | 0.56924*cm -0.4363323129985824*rad 1.5707963267948966*rad 75.57990760314014*cm 7.80628239673911*cm 86.40015177315385*cm -0.13234748605531266*rad 75.57990760314014*cm 7.80628239673911*cm 86.40015177315385*cm -0.13234748605531266*rad  |    3   1   1   3
     sl1_layer4_s3 | region1_s3 | -2.520993*cm -5.910824*cm -4.915070*cm | ordered: yxz 0.0*deg 0.0*deg 6.0*deg |   G4Trap | 0.56924*cm -0.4363323129985824*rad 1.5707963267948966*rad 75.57990760314013*cm 7.737858456873774*cm 86.33172783328851*cm -0.13234748605531266*rad 75.57990760314013*cm 7.737858456873774*cm 86.33172783328851*cm -0.13234748605531266*rad  |    3   1   1   4
     sl1_layer5_s3 | region1_s3 | -2.554604*cm -5.234758*cm -3.756590*cm | ordered: yxz 0.0*deg 0.0*deg 6.0*deg |   G4Trap | 0.56924*cm -0.4363323129985824*rad 1.5707963267948966*rad 75.57990760314013*cm 8.36495548494131*cm 86.95882486135606*cm -0.13234748605531266*rad 75.57990760314013*cm 8.36495548494131*cm 86.95882486135606*cm -0.13234748605531266*rad  |    3   1   1   5
     sl1_layer6_s3 | region1_s3 | -2.550937*cm -5.907677*cm -2.598110*cm | ordered: yxz 0.0*deg 0.0*deg 6.0*deg |   G4Trap | 0.56924*cm -0.4363323129985824*rad 1.5707963267948966*rad 75.57990760314013*cm 8.296531545075975*cm 86.89040092149072*cm -0.13234748605531266*rad 75.57990760314013*cm 8.296531545075975*cm 86.89040092149072*cm -0.13234748605531266*rad  |    3   1   1   6
     sl2_layer1_s3 | region1_s3 | 2.596977*cm -6.513092*cm 2.273030*cm | ordered: yxz 0.0*deg 0.0*deg -6.0*deg |   G4Trap | 0.59633*cm -0.4363323129985824*rad 1.5707963267948966*rad 79.11464225021055*cm 7.317674013959217*cm 89.58723554113546*cm 0.13234748605531266*rad 79.11464225021055*cm 7.317674013959217*cm 89.58723554113546*cm 0.13234748605531266*rad  |    3   1   2   1
     sl2_layer2_s3 | region1_s3 | 2.593138*cm -7.217482*cm 3.485690*cm | ordered: yxz 0.0*deg 0.0*deg -6.0*deg |   G4Trap | 0.59633*cm -0.4363323129985824*rad 1.5707963267948966*rad 79.11464225021055*cm 7.246050011026841*cm 89.51561153820306*cm 0.13234748605531266*rad 79.11464225021055*cm 7.246050011026841*cm 89.51561153820306*cm 0.13234748605531266*rad  |    3   1   2   2
     sl2_layer3_s3 | region1_s3 | 2.628321*cm -6.509798*cm 4.698350*cm | ordered: yxz 0.0*deg 0.0*deg -6.0*deg |   G4Trap | 0.59633*cm -0.4363323129985824*rad 1.5707963267948966*rad 79.11464225021055*cm 7.902475225149122*cm 90.17203675232535*cm 0.13234748605531266*rad 79.11464225021055*cm 7.902475225149122*cm 90.17203675232535*cm 0.13234748605531266*rad  |    3   1   2   3
     sl2_layer4_s3 | region1_s3 | 2.624483*cm -7.214187*cm 5.911010*cm | ordered: yxz 0.0*deg 0.0*deg -6.0*deg |   G4Trap | 0.59633*cm -0.4363323129985824*rad 1.5707963267948966*rad 79.11464225021055*cm 7.830851222216746*cm 90.10041274939297*cm 0.13234748605531288*rad 79.11464225021055*cm 7.830851222216746*cm 90.10041274939297*cm 0.13234748605531288*rad  |    3   1   2   4
     sl2_layer5_s3 | region1_s3 | 2.659666*cm -6.506503*cm 7.123670*cm | ordered: yxz 0.0*deg 0.0*deg -6.0*deg |   G4Trap | 0.59633*cm -0.4363323129985824*rad 1.5707963267948966*rad 79.11464225021055*cm 8.487276436339027*cm 90.75683796351524*cm 0.13234748605531266*rad 79.11464225021055*cm 8.487276436339027*cm 90.75683796351524*cm 0.13234748605531266*rad  |    3   1   2   5
     sl2_layer6_s3 | region1_s3 | 2.655827*cm -7.210893*cm 8.336330*cm | ordered: yxz 0.0*deg 0.0*deg -6.0*deg |   G4Trap | 0.59633*cm -0.4363323129985824*rad 1.5707963267948966*rad 79.11464225021055*cm 8.415652433406652*cm 90.68521396058287*cm 0.13234748605531266*rad 79.11464225021055*cm 8.415652433406652*cm 90.68521396058287*cm 0.13234748605531266*rad  |    3   1   2   6
        region1_s4 |       fc | -98.410674*cm 0.000000*cm 216.302723*cm | ordered: zxy -90.0*deg 25.0*deg 0.0*deg |   G4Trap | 9.088989999999999*cm -0.4363323129985824*rad 1.5707963267948966*rad 91.92951687874792*cm 5.1643245076018545*cm 98.80210210179095*cm 0.0*rad 91.92951687874792*cm 5.1643245076018545*cm 98.80210210179095*cm 0.0*rad  |    4   1   0   0
     sl1_layer1_s4 | region1_s4 | -2.494716*cm -5.241053*cm -8.390510*cm | ordered: yxz 0.0*deg 0.0*deg 6.0*deg |   G4Trap | 0.56924*cm -0.4363323129985824*rad 1.5707963267948966*rad 75.57990760314013*cm 7.247609308536908*cm 85.84147868495164*cm -0.13234748605531266*rad 75.57990760314013*cm 7.247609308536908*cm 85.84147868495164*cm -0.13234748605531266*rad  |    4   1   1   1
     sl1_layer2_s4 | region1_s4 | -2.491049*cm -5.913971*cm -7.232030*cm | ordered: yxz 0.0*deg 0.0*deg 6.0*deg |   G4Trap | 0.56924*cm -0.4363323129985824*rad 1.5707963267948966*rad 75.57990760314013*cm 7.179185368671571*cm 85.7730547450863*cm -0.13234748605531266*rad 75.57990760314013*cm 7.179185368671571*cm 85.7730547450863*cm -0.13234748605531266*rad  |    4   1   1   2
     sl1_layer3_s4 | region1_s4 | -2.524660*cm -5.237906*cm -6.073550*cm | ordered: yxz 0.0*deg 0.0*deg 6.0*deg |   G4Trap | 0.56924*cm -0.4363323129985824*rad 1.5707963267948966*rad 75.57990760314014*cm 7.80628239673911*cm 86.40015177315385*cm -0.13234748605531266*rad 75.57990760314014*cm 7.80628239673911*cm 86.40015177315385*cm -0.13234748605531266*rad  |    4   1   1   3
     sl1_layer4_s4 | region1_s4 | -2.520993*cm -5.910824*cm -4.915070*cm | ordered: yxz 0.0*deg 0.0*deg 6.0*deg |   G4Trap | 0.56924*cm -0.4363323129985824*rad 1.5707963267948966*rad 75.57990760314013*cm 7.737858456873774*cm 86.33172783328851*cm -0.13234748605531266*rad 75.57990760314013*cm 7.737858456873774*cm 86.33172783328851*cm -0.13234748605531266*rad  |    4   1   1   4
     sl1_layer5_s4 | region1_s4 | -2.554604*cm -5.234758*cm -3.756590*cm | ordered: yxz 0.0*deg 0.0*deg 6.0*deg |   G4Trap | 0.56924*cm -0.4363323129985824*rad 1.5707963267948966*rad 75.57990760314013*cm 8.36495548494131*cm 86.95882486135606*cm -0.13234748605531266*rad 75.57990760314013*cm 8.36495548494131*cm 86.95882486135606*cm -0.13234748605531266*rad  |    4   1   1   5
     sl1_layer6_s4 | region1_s4 | -2.550937*cm -5.907677*cm -2.598110*cm | ordered: yxz 0.0*deg 0.0*deg 6.0*deg |   G4Trap | 0.56924*cm -0.4363323129985824*rad 1.5707963267948966*rad 75.57990760314013*cm 8.296531545075975*cm 86.89040092149072*cm -0.13234748605531266*rad 75.57990760314013*cm 8.296531545075975*cm 86.89040092149072*cm -0.13234748605531266*rad  |    4   1   1   6
     sl2_layer1_s4 | region1_s4 | 2.596977*cm -6.513092*cm 2.273030*cm | ordered: yxz 0.0*deg 0.0*deg -6.0*deg |   G4Trap | 0.59633*cm -0.4363323129985824*rad 1.5707963267948966*rad 79.11464225021055*cm 7.317674013959217*cm 89.58723554113546*cm 0.13234748605531266*rad 79.11464225021055*cm 7.317674013959217*cm 89.58723554113546*cm 0.13234748605531266*rad  |    4   1   2   1
     sl2_layer2_s4 | region1_s4 | 2.593138*cm -7.217482*cm 3.485690*cm | ordered: yxz 0.0*deg 0.0*deg -6.0*deg |   G4Trap | 0.59633*cm -0.4363323129985824*rad 1.5707963267948966*rad 79.11464225021055*cm 7.246050011026841*cm 89.51561153820306*cm 0.13234748605531266*rad 79.11464225021055*cm 7.246050011026841*cm 89.51561153820306*cm 0.13234748605531266*rad  |    4   1   2   2
     sl2_layer3_s4 | region1_s4 | 2.628321*cm -6.509798*cm 4.698350*cm | ordered: yxz 0.0*deg 0.0*deg -6.0*deg |   G4Trap | 0.59633*cm -0.4363323129985824*rad 1.5707963267948966*rad 79.11464225021055*cm 7.902475225149122*cm 90.17203675232535*cm 0.13234748605531266*rad 79.11464225021055*cm 7.902475225149122*cm 90.17203675232535*cm 0.13234748605531266*rad  |    4   1   2   3
     sl2_layer4_s4 | region1_s4 | 2.624483*cm -7.214187*cm 5.911010*cm | ordered: yxz 0.0*deg 0.0*deg -6.0*deg |   G4Trap | 0.59633*cm -0.4363323129985824*rad 1.5707963267948966*rad 79.11464225021055*cm 7.830851222216746*cm 90.10041274939297*cm 0.13234748605531288*rad 79.11464225021055*cm 7.830851222216746*cm 90.10041274939297*cm 0.13234748605531288*rad  |    4   1   2   4
     sl2_layer5_s4 | region1_s4 | 2.659666*cm -6.506503*cm 7.123670*cm | ordered: yxz 0.0*deg 0.0*deg -6.0*deg |   G4Trap | 0.59633*cm -0.4363323129985824*rad 1.5707963267948966*rad 79.11464225021055*cm 8.487276436339027*cm 90.75683796351524*cm 0.13234748605531266*rad 79.11464225021055*cm 8.487276436339027*cm 90.75683796351524*cm 0.13234748605531266*rad  |    4   1   2   5
     sl2_layer6_s4 | region1_s4 | 2.655827*cm -7.210893*cm 8.336330*cm | ordered: yxz 0.0*deg 0.0*deg -6.0*deg |   G4Trap | 0.59633*cm -0.4363323129985824*rad 1.5707963267948966*rad 79.11464225021055*cm 8.415652433406652*cm 90.68521396058287*cm 0.13234748605531266*rad 79.11464225021055*cm 8.415652433406652*cm 90.68521396058287*cm 0.13234748605531266*rad  |    4   1   2   6
        region1_s5 |       fc | -49.205337*cm -85.226144*cm 216.302723*cm | ordered: zxy -150.00000000000003*deg 25.0*deg 0.0*deg |   G4Trap | 9.088989999999999*cm -0.4363323129985824*rad 1.5707963267948966*rad 91.92951687874792*cm 5.1643245076018545*cm 98.80210210179095*cm 0.0*rad 91.92951687874792*cm 5.1643245076018545*cm 98.80210210179095*cm 0.0*rad  |    5   1   0   0
     sl1_layer1_s5 | region1_s5 | -2.494716*cm -5.241053*cm -8.390510*cm | ordered: yxz 0.0*deg 0.0*deg 6.0*deg |   G4Trap | 0.56924*cm -0.4363323129985824*rad 1.5707963267948966*rad 75.57990760314013*cm 7.247609308536908*cm 85.84147868495164*cm -0.13234748605531266*rad 75.57990760314013*cm 7.247609308536908*cm 85.84147868495164*cm -0.13234748605531266*rad  |    5   1   1   1
     sl1_layer2_s5 | region1_s5 | -2.491049*cm -5.913971*cm -7.232030*cm | ordered: yxz 0.0*deg 0.0*deg 6.0*deg |   G4Trap | 0.56924*cm -0.4363323129985824*rad 1.5707963267948966*rad 75.57990760314013*cm 7.179185368671571*cm 85.7730547450863*cm -0.13234748605531266*rad 75.57990760314013*cm 7.179185368671571*cm 85.7730547450863*cm -0.13234748605531266*rad  |    5   1   1   2
     sl1_layer3_s5 | region1_s5 | -2.524660*cm -5.237906*cm -6.073550*cm | ordered: yxz 0.0*deg 0.0*deg 6.0*deg |   G4Trap | 0.56924*cm -0.4363323129985824*rad 1.5707963267948966*rad 75.57990760314014*cm 7.80628239673911*cm 86.40015177315385*cm -0.13234748605531266*rad 75.57990760314014*cm 7.80628239673911*cm 86.40015177315385*cm -0.13234748605531266*rad  |    5   1   1   3
     sl1_layer4_s5 | region1_s5 | -2.520993*cm -5.910824*cm -4.915070*cm | ordered: yxz 0.0*deg 0.0*deg 6.0*deg |   G4Trap | 0.56924*cm -0.4363323129985824*rad 1.5707963267948966*rad 75.57990760314013*cm 7.737858456873774*cm 86.33172783328851*cm -0.13234748605531266*rad 75.57990760314013*cm 7.737858456873774*cm 86.33172783328851*cm -0.13234748605531266*rad  |    5   1   1   4
     sl1_layer5_s5 | region1_s5 | -2.554604*cm -5.234758*cm -3.756590*cm | ordered: yxz 0.0*deg 0.0*deg 6.0*deg |   G4Trap | 0.56924*cm -0.4363323129985824*rad 1.5707963267948966*rad 75.57990760314013*cm 8.36495548494131*cm 86.95882486135606*cm -0.13234748605531266*rad 75.57990760314013*cm 8.36495548494131*cm 86.95882486135606*cm -0.13234748605531266*rad  |    5   1   1   5
     sl1_layer6_s5 | region1_s5 | -2.550937*cm -5.907677*cm -2.598110*cm | ordered: yxz 0.0*deg 0.0*deg 6.0*deg |   G4Trap | 0.56924*cm -0.4363323129985824*rad 1.5707963267948966*rad 75.57990760314013*cm 8.296531545075975*cm 86.89040092149072*cm -0.13234748605531266*rad 75.57990760314013*cm 8.296531545075975*cm 86.89040092149072*cm -0.13234748605531266*rad  |    5   1   1   6
     sl2_layer1_s5 | region1_s5 | 2.596977*cm -6.513092*cm 2.273030*cm | ordered: yxz 0.0*deg 0.0*deg -6.0*deg |   G4Trap | 0.59633*cm -0.4363323129985824*rad 1.5707963267948966*rad 79.11464225021055*cm 7.317674013959217*cm 89.58723554113546*cm 0.13234748605531266*rad 79.11464225021055*cm 7.317674013959217*cm 89.58723554113546*cm 0.13234748605531266*rad  |    5   1   2   1
     sl2_layer2_s5 | region1_s5 | 2.593138*cm -7.217482*cm 3.485690*cm | ordered: yxz 0.0*deg 0.0*deg -6.0*deg |   G4Trap | 0.59633*cm -0.4363323129985824*rad 1.5707963267948966*rad 79.11464225021055*cm 7.246050011026841*cm 89.51561153820306*cm 0.13234748605531266*rad 79.11464225021055*cm 7.246050011026841*cm 89.51561153820306*cm 0.13234748605531266*rad  |    5   1   2   2
     sl2_layer3_s5 | region1_s5 | 2.628321*cm -6.509798*cm 4.698350*cm | ordered: yxz 0.0*deg 0.0*deg -6.0*deg |   G4Trap | 0.59633*cm -0.4363323129985824*rad 1.5707963267948966*rad 79.11464225021055*cm 7.902475225149122*cm 90.17203675232535*cm 0.13234748605531266*rad 79.11464225021055*cm 7.902475225149122*cm 90.17203675232535*cm 0.13234748605531266*rad  |    5   1   2   3
     sl2_layer4_s5 | region1_s5 | 2.624483*cm -7.214187*cm 5.911010*cm | ordered: yxz 0.0*deg 0.0*deg -6.0*deg |   G4Trap | 0.59633*cm -0.4363323129985824*rad 1.5707963267948966*rad 79.11464225021055*cm 7.830851222216746*cm 90.10041274939297*cm 0.13234748605531288*rad 79.11464225021055*cm 7.830851222216746*cm 90.10041274939297*cm 0.13234748605531288*rad  |    5   1   2   4
     sl2_layer5_s5 | region1_s5 | 2.659666*cm -6.506503*cm 7.123670*cm | ordered: yxz 0.0*deg 0.0*deg -6.0*deg |   G4Trap | 0.59633*cm -0.4363323129985824*rad 1.5707963267948966*rad 79.11464225021055*cm 8.487276436339027*cm 90.75683796351524*cm 0.13234748605531266*rad 79.11464225021055*cm 8.487276436339027*cm 90.75683796351524*cm 0.13234748605531266*rad  |    5   1   2   5
     sl2_layer6_s5 | region1_s5 | 2.655827*cm -7.210893*cm 8.336330*cm | ordered: yxz 0.0*deg 0.0*deg -6.0*deg |   G4Trap | 0.59633*cm -0.4363323129985824*rad 1.5707963267948966*rad 79.11464225021055*cm 8.415652433406652*cm 90.68521396058287*cm 0.13234748605531266*rad 79.11464225021055*cm 8.415652433406652*cm 90.68521396058287*cm 0.13234748605531266*rad  |    5   1   2   6
