            bst_sl_1  |                root  |                 Super Layer 1  |                                  0*cm 0*cm -50*mm  |                                   0 0 0  | aaaaff   |                Tube  |                            60*mm 75*mm 325*mm 0*deg 360*deg  |              G4_AIR  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
wirebond_V_Layer1_Module2_Segment06  |            bst_sl_1  |Barrel Silicon Tracker, Wirebond V, Layer 1,  Module 2, Segment 6  |                     0.000*mm 64.813*mm -58.231*mm  |                       0*deg 0*deg 0*deg  | a5af9a   |                 Box  |                                    18.375*mm 0.15*mm 1.5*mm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
wirebond_V_Layer1_Module2_Segment07  |            bst_sl_1  |Barrel Silicon Tracker, Wirebond V, Layer 1,  Module 2, Segment 7  |                   -38.096*mm 52.435*mm -58.231*mm  |                     0*deg 0*deg -36*deg  | a5af9a   |                 Box  |                                    18.375*mm 0.15*mm 1.5*mm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
wirebond_V_Layer1_Module2_Segment08  |            bst_sl_1  |Barrel Silicon Tracker, Wirebond V, Layer 1,  Module 2, Segment 8  |                   -61.641*mm 20.028*mm -58.231*mm  |                     0*deg 0*deg -72*deg  | a5af9a   |                 Box  |                                    18.375*mm 0.15*mm 1.5*mm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
wirebond_V_Layer1_Module2_Segment09  |            bst_sl_1  |Barrel Silicon Tracker, Wirebond V, Layer 1,  Module 2, Segment 9  |                  -61.641*mm -20.028*mm -58.231*mm  |                    0*deg 0*deg -108*deg  | a5af9a   |                 Box  |                                    18.375*mm 0.15*mm 1.5*mm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
wirebond_V_Layer1_Module2_Segment10  |            bst_sl_1  |Barrel Silicon Tracker, Wirebond V, Layer 1,  Module 2, Segment 10  |                  -38.096*mm -52.435*mm -58.231*mm  |                    0*deg 0*deg -144*deg  | a5af9a   |                 Box  |                                    18.375*mm 0.15*mm 1.5*mm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
wirebond_V_Layer1_Module3_Segment01  |            bst_sl_1  |Barrel Silicon Tracker, Wirebond V, Layer 1,  Module 3, Segment 1  |                    -0.000*mm -64.813*mm 53.394*mm  |                     0*deg 0*deg 180*deg  | a5af9a   |                 Box  |                                    18.375*mm 0.15*mm 1.5*mm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
wirebond_V_Layer1_Module3_Segment02  |            bst_sl_1  |Barrel Silicon Tracker, Wirebond V, Layer 1,  Module 3, Segment 2  |                    38.096*mm -52.435*mm 53.394*mm  |                     0*deg 0*deg 144*deg  | a5af9a   |                 Box  |                                    18.375*mm 0.15*mm 1.5*mm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
wirebond_V_Layer1_Module3_Segment03  |            bst_sl_1  |Barrel Silicon Tracker, Wirebond V, Layer 1,  Module 3, Segment 3  |                    61.641*mm -20.028*mm 53.394*mm  |                     0*deg 0*deg 108*deg  | a5af9a   |                 Box  |                                    18.375*mm 0.15*mm 1.5*mm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
wirebond_V_Layer1_Module3_Segment04  |            bst_sl_1  |Barrel Silicon Tracker, Wirebond V, Layer 1,  Module 3, Segment 4  |                     61.641*mm 20.028*mm 53.394*mm  |                      0*deg 0*deg 72*deg  | a5af9a   |                 Box  |                                    18.375*mm 0.15*mm 1.5*mm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
wirebond_V_Layer1_Module3_Segment05  |            bst_sl_1  |Barrel Silicon Tracker, Wirebond V, Layer 1,  Module 3, Segment 5  |                     38.096*mm 52.435*mm 53.394*mm  |                      0*deg 0*deg 36*deg  | a5af9a   |                 Box  |                                    18.375*mm 0.15*mm 1.5*mm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
wirebond_V_Layer1_Module3_Segment06  |            bst_sl_1  |Barrel Silicon Tracker, Wirebond V, Layer 1,  Module 3, Segment 6  |                      0.000*mm 64.813*mm 53.394*mm  |                       0*deg 0*deg 0*deg  | a5af9a   |                 Box  |                                    18.375*mm 0.15*mm 1.5*mm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
wirebond_V_Layer1_Module3_Segment07  |            bst_sl_1  |Barrel Silicon Tracker, Wirebond V, Layer 1,  Module 3, Segment 7  |                    -38.096*mm 52.435*mm 53.394*mm  |                     0*deg 0*deg -36*deg  | a5af9a   |                 Box  |                                    18.375*mm 0.15*mm 1.5*mm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
wirebond_V_Layer1_Module3_Segment08  |            bst_sl_1  |Barrel Silicon Tracker, Wirebond V, Layer 1,  Module 3, Segment 8  |                    -61.641*mm 20.028*mm 53.394*mm  |                     0*deg 0*deg -72*deg  | a5af9a   |                 Box  |                                    18.375*mm 0.15*mm 1.5*mm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
